"term","type","iri","label","definition","dpvtype","subclassof","hasbroader","scopenote","created","modified","vocab","namespace"
"ContractAmendmentClause","class","https://w3id.org/dpv#ContractAmendmentClause","Contract Amendment Clause","A provision describing how changes or modifications to the contract can be made and the process for implementing them","https://w3id.org/dpv#ContractualClause","","https://w3id.org/dpv#ContractualClause","","2024-08-27","","dpv","https://w3id.org/dpv"
"ContractConfidentialityClause","class","https://w3id.org/dpv#ContractConfidentialityClause","Contract Confidentiality Clause","A provision requiring parties to keep certain information confidential and not disclose it to third parties","https://w3id.org/dpv#ContractualClause","","https://w3id.org/dpv#ContractualClause","","2024-08-27","","dpv","https://w3id.org/dpv"
"ContractDefinitions","class","https://w3id.org/dpv#ContractDefinitions","Contract Definitions","A section specifying the meanings of key terms and phrases used throughout the contract","https://w3id.org/dpv#ContractualClause","","https://w3id.org/dpv#ContractualClause","","2024-08-27","","dpv","https://w3id.org/dpv"
"ContractDisputeResolutionClause","class","https://w3id.org/dpv#ContractDisputeResolutionClause","Contract DisputeResolution Clause","A provision detailing the methods and procedures for resolving disagreements or conflicts arising from the contract","https://w3id.org/dpv#ContractualClause","","https://w3id.org/dpv#ContractualClause","","2024-08-27","","dpv","https://w3id.org/dpv"
"ContractJurisdictionClause","class","https://w3id.org/dpv#ContractJurisdictionClause","Contract Jurisdiction Clause","A provision specifying the legal jurisdiction or court where disputes related to the contract will be resolved","https://w3id.org/dpv#ContractualClause","","https://w3id.org/dpv#ContractualClause","","2024-08-27","","dpv","https://w3id.org/dpv"
"ContractPreamble","class","https://w3id.org/dpv#ContractPreamble","Contract Preamble","An introductory section outlining the background, context, and purpose of the contract","https://w3id.org/dpv#ContractualClause","","https://w3id.org/dpv#ContractualClause","","2024-08-27","","dpv","https://w3id.org/dpv"
"ContractTerminationClause","class","https://w3id.org/dpv#ContractTerminationClause","Contract Termination Clause","A provision outlining the conditions under which the contract can be terminated before its completion, including any penalties or obligations","https://w3id.org/dpv#ContractualClause","","https://w3id.org/dpv#ContractualClause","","2024-08-27","","dpv","https://w3id.org/dpv"
"ContractualClause","class","https://w3id.org/dpv#ContractualClause","Contractual Clause","A part or component within a contract that outlines its specifics","","","","","2024-08-27","","dpv","https://w3id.org/dpv"
"ContractualClauseFulfilled","class","https://w3id.org/dpv#ContractualClauseFulfilled","Contractual Clause Fulfilled","Status indicating the terms of the contractual clause are fulfilled i.e. they have been successfully completed without violation","https://w3id.org/dpv#ContractualClauseFulfilmentStatus","","https://w3id.org/dpv#ContractualClauseFulfilmentStatus","","2024-08-27","2025-08-06","dpv","https://w3id.org/dpv"
"ContractualClauseFulfilmentStatus","class","https://w3id.org/dpv#ContractualClauseFulfilmentStatus","Contractual Clause Fulfilment Status","Status associated with fulfilment of a contractual clause","","https://w3id.org/dpv#ContractStatus","https://w3id.org/dpv#ContractStatus","","2024-08-27","","dpv","https://w3id.org/dpv"
"ContractualClauseNotFulfilled","class","https://w3id.org/dpv#ContractualClauseNotFulfilled","Contractual Clause Unfulfilled","Status indicating the terms of the contractual clause have not yet been fulfilled in a manner that does not constitute a violation i.e. there is still an opportunity to complete them","https://w3id.org/dpv#ContractualClauseFulfilmentStatus","","https://w3id.org/dpv#ContractualClauseFulfilmentStatus","","2024-08-27","2025-08-06","dpv","https://w3id.org/dpv"
"ContractualClausePartiallyFulfilled","class","https://w3id.org/dpv#ContractualClausePartiallyFulfilled","Contractual Clause Partially Fulfilled","Status indicating some of the terms of the contractual clause have been fulfilled, and others have not yet been fulfilled in a manner that does not constitute a violation i.e. there is still an opportunity to complete them","https://w3id.org/dpv#ContractualClauseFulfilmentStatus","","https://w3id.org/dpv#ContractualClauseFulfilmentStatus","","2024-08-27","2025-08-06","dpv","https://w3id.org/dpv"
"ContractualClauseViolated","class","https://w3id.org/dpv#ContractualClauseViolated","Contractual Clause Breached","Status indicating the terms of the contractual clause have been violated","https://w3id.org/dpv#ContractualClauseFulfilmentStatus","","https://w3id.org/dpv#ContractualClauseFulfilmentStatus","","2024-08-27","","dpv","https://w3id.org/dpv"
"TermsOfService","class","https://w3id.org/dpv#TermsOfService","Terms of Service","Contractual clauses outlining the terms and conditions regarding the provision of a service, typically between a service provider and a service consumer, also know as 'Terms of Use' and 'Terms and Conditions' and commonly abbreviated as TOS, ToS, ToU, or T&C","https://w3id.org/dpv#ContractualClause","","https://w3id.org/dpv#ContractualClause","","2024-08-27","","dpv","https://w3id.org/dpv"
