Term,Label,Definition,ParentTerm,ParentType,Permits,Prohibits,Obligates,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,
Acronyms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,Service Delivery (SD),Term associated with delivery of service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP,Data Portability (DP),Term associated with data portability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Analytics by Second-Party (A),Term associated with analytics conducted by second party (entity organisation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,Analytics and Tracking by Second-Party (AT),Term associated with tracking conducted by second party (entity organisation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP,"Analytics, Tracking, and Profiling by Second-Party (ATP)",Term associated with profiling conducted by second party (entity organisation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3P,Share Anonymised Data with Third Party (S3P),Term associated with sharing of data with third parties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDC,Personal Data Contribution (PDC),Term associated with proactive contribution of data by a person towards some specific objective/purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTENT,Intent Casting (INTENT),Term associated with intent casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI,AI Training and Operation (AI),Term associated with AI training and operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOD,Public Good (GOOD),Term associated with public good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PrivacyTerm types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD-BY,SD-BY,"Term that requires Service Delivery, and prohibits Analytics, Tracking, or Profiling by 2nd and 3rd Party, and prohibits sharing any data with 3rd Party",,p7012:Agreement,,"p7012:AnalyticsDisallowed,p7012:TrackingDisallowed,p7012:ProfilingDisallowed,p7012:DataSharingDisallowed",p7012:ServiceDeliveryRequired,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
SD-BY-DP,SD BY-DP,"Term that requires Service Delivery, with an obligation for Data Portability, and prohibits Analytics, Tracking, or Profiling by 2nd and 3rd Party, and prohibits sharing any data with 3rd Party",p7012:SD-BY,p7012:Agreement,,"p7012:AnalyticsDisallowed,p7012:TrackingDisallowed,p7012:ProfilingDisallowed,p7012:DataSharingDisallowed","p7012:ServiceDeliveryRequired,p7012:PortabilityRequired",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
SD-BY-A,SD BY-A,"Term that requires Service Delivery and permits Analytics, and prohibits Analytics by 3rd Party, prohibits Tracking, or Profiling by 2nd and 3rd Party, and prohibits sharing any data with 3rd Party",p7012:SD-BY,p7012:Agreement,p7012:Analytics2PAllowed,"p7012:Analytics3PDisallowed,p7012:TrackingDisallowed,p7012:ProfilingDisallowed,p7012:DataSharingDisallowed",p7012:ServiceDeliveryRequired,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
SD-BY-A-DP,SD BY-A-DP,"Term that requires Service Delivery and permits Analytics, with an obligation for Data Portability, and prohibits Analytics by 3rd Party, prohibits Tracking or Profiling by 2nd and 3rd Party, and prohibits sharing any data with 3rd Party","p7012:SD-BY-A,p7012:SD-BY-DP",p7012:Agreement,p7012:Analytics2PAllowed,"p7012:Analytics3PDisallowed,p7012:TrackingDisallowed,p7012:ProfilingDisallowed,p7012:DataSharingDisallowed","p7012:ServiceDeliveryRequired,p7012:PortabilityRequired",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
SD-BY-AT,SD BY-AT,"Term that requires Service Delivery, and permits Analytics and Tracking by the 2nd Party, and prohibits Analytics, or Tracking by 3rd Party, prohibits Profiling by 2nd and 3rd Party, and prohibits sharing any data with 3rd Party",p7012:SD-BY-A,p7012:Agreement,"p7012:Analytics2PAllowed,p7012:Tracking2PAllowed","p7012:Analytics3PDisallowed,p7012:Tracking3PDisallowed,p7012:ProfilingDisallowed,p7012:DataSharingDisallowed",p7012:ServiceDeliveryRequired,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
SD-BY-AT-DP,SD BY-AT-DP,"Term that requires Service Delivery, and permits Analytics and Tracking by the 2nd Party, with an obligation for Data Portability, and prohibits Analytics or Tracking by 3rd Party, prohibits Profiling by 2nd and 3rd Party, and prohibits sharing any data with 3rd Party","p7012:SD-BY-AT,p7012:SD-BY-DP",p7012:Agreement,"p7012:Analytics2PAllowed,p7012:Tracking2PAllowed","p7012:Analytics3PDisallowed,p7012:Tracking3PDisallowed,p7012:ProfilingDisallowed,p7012:DataSharingDisallowed","p7012:ServiceDeliveryRequired,p7012:PortabilityRequired",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
SD-BY-ATP,SD BY-ATP,"Term that requires Service Delivery, and permits Analytics, Tracking, or Profiling by the 2nd party, and prohibits Analytics, Tracking, or Profiling by 3rd Party, and prohibits sharing any data with 3rd Party",p7012:SD-BY-AT,p7012:Agreement,"p7012:Analytics2PAllowed,p7012:Tracking2PAllowed
,p7012:Profiling2PAllowed","p7012:Analytics3PDisallowed,p7012:Tracking3PDisallowed,p7012:Profiling3PDisallowed,p7012:DataSharingDisallowed",p7012:ServiceDeliveryRequired,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
SD-BY-ATP-DP,SD BY-ATP-DP,"Term that requires Service Delivery, and permits Analytics, Tracking, or Profiling by the 2nd Party, with an obligation for Data Portability, and prohibits Analytics, Tracking, or Profiling by 3rd Party, and prohibits sharing any data with 3rd Party","p7012:SD-BY-ATP,p7012:SD-BY-DP",p7012:Agreement,"p7012:Analytics2PAllowed,p7012:Tracking2PAllowed
,p7012:Profiling2PAllowed","p7012:Analytics3PDisallowed,p7012:Tracking3PDisallowed,p7012:Profiling3PDisallowed,p7012:DataSharingDisallowed","p7012:ServiceDeliveryRequired,p7012:PortabilityRequired",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
SD-BY-ATP-S3P,SD BY-ATP-S3P,"Term that requires Service Delivery, and permits Analytics, Tracking, or Profiling by the 2nd Party, and permits sharing data that has been fully anonymised with 3rd Party, and prohibits Analytics, Tracking, or Profiling by 3rd Party, and prohibits sharing on non-anonymised data with 3rd Party",p7012:SD-BY-ATP,p7012:Agreement,"p7012:Analytics2PAllowed,p7012:Tracking2PAllowed
,p7012:Profiling2PAllowed,p7012:DataSharingAnonymised3PAllowed","p7012:Analytics3PDisallowed,p7012:Tracking3PDisallowed,p7012:Profiling3PDisallowed,p7012:SharingDataNonAnonymised3PDisallowed",p7012:ServiceDeliveryRequired,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
SD-BY-ATP-S3P-DP,SD BY-ATP-S3P-DP,"Term that requires Service Delivery, and permits Analytics, Tracking, or Profiling by the 2nd Party, and permits sharing data that has been fully anonymised with 3rd Party, with an obligation for Data Portability, and prohibits Analytics, Tracking, Profiling by 3rd Party, and prohibits sharing on non-anonymised data with 3rd Party","p7012:SD-BY-ATP-S3P,p7012:SD-BY-DP",p7012:Agreement,"p7012:Analytics2PAllowed,p7012:Tracking2PAllowed
,p7012:Profiling2PAllowed,p7012:DataSharingAnonymised3PAllowed","p7012:Analytics3PDisallowed,p7012:Tracking3PDisallowed,p7012:Profiling3PDisallowed,p7012:SharingDataNonAnonymised3PDisallowed","p7012:ServiceDeliveryRequired,p7012:PortabilityRequired",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PDC,Personal Data Contribution,Term that indicates access is proactively provided by the person,,p7012:Agreement,,,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PDC-INTENT,Personal Data Contribution for Intent Casting,Term that indicates access to data is being provided for the purposes of Intent Casting,p7012:PDC,p7012:Agreement,,,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PDC-AI,Personal Data Contribution for AI Training and Development,Term that indicates access to data is being provided for the purposes of Training and Operating AI technologies,p7012:PDC,p7012:Agreement,,,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PDC-GOOD,Personal Data Contribution for Public Good,Term that indicates access to data is being provided for the purposes of Public Good,p7012:PDC,p7012:Agreement,,,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TPR,Trusted Personal Relationship,"Term that indicates the agreement is between two individual humans regarding services, communication, or other activities as mutually agreed within the agreement",,p7012:Agreement,,p7012:DataSharingDisallowed,p7012:ServiceDeliveryRequired,,,,,,2025-04-09,,accepted,,,,,,,,,,,,,,,,,
TPR-IDENTITY-REF,Trusted Personal Relationship - Identity Reference,Term that indicates an agreement that establishes the identity of a person through an agreement with another human who validates or vouches for the stated identity as belonging to the associated human,p7012:TPR,p7012:Agreement,,,dpv:IdentityVerification,,,,,,2025-04-09,,accepted,,,,,,,,,,,,,,,,,
