Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,
AgreementNegotiationStatus,Agreement Negotiation Status,Status associated with the Agreement Negotiation,dpv:Status,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgreementAccepted,Agreement Accepted,Status indicating the Agreement Negotiation is completed and the parties have accepted the relevant terms,,ieee-7012:AgreementNegotiationStatus,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgreementRefused,Agreement Refused,Status indicating the Agreement Negotiation is completed and the parties have refused the relevant terms,,ieee-7012:AgreementNegotiationStatus,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgreementNegotiationInitiated,Agreement Negotiation Initiated,Status indicating the Agreement Negotiation process has been initiated,,ieee-7012:AgreementNegotiationStatus,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgreementNegotiationRequested,Agreement Negotiation Requested,Status indicating the Agreement Negotiation has been requested to be initiated,,ieee-7012:AgreementNegotiationStatus,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgreementNegotiationRefused,Agreement Negotiation Refused,Status indicating the Agreement Negotiation has been refused to be initiated or continued,,ieee-7012:AgreementNegotiationStatus,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgreementNegotiationPendingResponse,Agreement Negotiation Pending Response,Status indicating the Agreement Negotiation process is underway and is awaiting a response from the other party,,ieee-7012:AgreementNegotiationStatus,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgreementNegotiationPaused,Agreement Negotiation Paused,Status indicating the Agreement Negotiation has been paused i.e. halted or put on hold without a specific decision,,ieee-7012:AgreementNegotiationStatus,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgreementNegotiationCounterOfferMade,Agreement Negotiation Counter Offer Made,Status indicating the terms involved in Agreement Negotiation were not accepted and a counter-offer has been made with a different set of terms,,ieee-7012:AgreementNegotiationStatus,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgreementNegotiationInvalid,Agreement Negotiation Invalid,Status indicating the Agreement Negotiation is deemed to be invalid and therefore cannot continue,,ieee-7012:AgreementNegotiationStatus,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgreementNegotiationTerminated,Agreement Negotiation Terminated,Status indicating the Agreement Negotiation has been terminated by one or more parties,,ieee-7012:AgreementNegotiationStatus,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgreementNegotiationExpired,Agreement Negotiation Expired,Status indicating the Agreement Negotiation has expired due to inactivity by a party or due to other reasons,,ieee-7012:AgreementNegotiationStatus,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgreementNegotiationConfirmationRequired,Agreement Negotiation Confirmation Required,Status indicating the Agreement Negotiation requires a confirmation by a human before it can proceed,,ieee-7012:AgreementNegotiationStatus,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgreementNegotiationUnknown,Agreement Negotiation Unknown,Status indicating the state of Agreement Negotiation is unknown,,ieee-7012:AgreementNegotiationStatus,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgreementNegotiationClarificationRequired,Agreement Negotiation Clarification Required,Status indicating the Agreement Negotiation requires a clarification from the other party regarding the relevant context,,ieee-7012:AgreementNegotiationStatus,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
